book_name,book_link,book_price
A Light in the ...,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,£51.77
Tipping the Velvet,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,£53.74
Soumission,http://books.toscrape.com/catalogue/soumission_998/index.html,£50.10
Sharp Objects,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,£47.82
Sapiens: A Brief History ...,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,£54.23
The Requiem Red,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,£22.65
The Dirty Little Secrets ...,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34
The Coming Woman: A ...,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93
The Boys in the ...,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60
The Black Maria,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,£52.15
Starving Hearts (Triangular Trade ...,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99
Shakespeare's Sonnets,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,£20.66
Set Me Free,http://books.toscrape.com/catalogue/set-me-free_988/index.html,£17.46
Scott Pilgrim's Precious Little ...,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29
Rip it Up and ...,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,£35.02
Our Band Could Be ...,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25
Olio,http://books.toscrape.com/catalogue/olio_984/index.html,£23.88
Mesaerion: The Best Science ...,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59
Libertarianism for Beginners,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,£51.33
It's Only the Himalayas,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,£45.17
